Wavelength (nm)	K12 abs e
601.00	12760
601.25	12580
601.50	12810
601.75	12930
602.00	13147
602.25	12937
602.50	13024
602.75	13409
603.00	13261
603.25	13357
603.50	13491
603.75	13755
604.00	13817
604.25	13930
604.50	13597
604.75	13438
605.00	13938
605.25	13873
605.50	14239
605.75	14209
606.00	14524
606.25	14475
606.50	14888
606.75	14387
607.00	14154
607.25	15028
607.50	15336
607.75	14781
608.00	15104
608.25	15231
608.50	15472
608.75	15255
609.00	15546
609.25	15556
609.50	15551
609.75	15803
610.00	15707
610.25	15986
610.50	15837
610.75	16521
611.00	16188
611.25	16593
611.50	16339
611.75	16776
612.00	16928
612.25	17049
612.50	16976
612.75	16889
613.00	17575
613.25	17230
613.50	17109
613.75	17101
614.00	17518
614.25	17464
614.50	17800
614.75	17617
615.00	18098
615.25	18004
615.50	18057
615.75	18165
616.00	17990
616.25	18437
616.50	18696
616.75	18589
617.00	18362
617.25	18804
617.50	18810
617.75	19269
618.00	18853
618.25	19130
618.50	18910
618.75	19651
619.00	19767
619.25	19187
619.50	19678
619.75	20048
620.00	20290
620.25	20248
620.50	20421
620.75	20122
621.00	20345
621.25	20668
621.50	20421
621.75	20782
622.00	20934
622.25	21322
622.50	20848
622.75	21082
623.00	21473
623.25	21547
